"StichtagDatJahr","QuarSort","QuarLang","AnzBestWir"
2021,11,"Rathaus",3275
2020,11,"Rathaus",3317
2019,11,"Rathaus",3307
2018,11,"Rathaus",3267
2017,11,"Rathaus",3266
2016,11,"Rathaus",3226
2015,11,"Rathaus",3197
2014,11,"Rathaus",3236
2013,11,"Rathaus",3194
2012,11,"Rathaus",3164
2011,11,"Rathaus",3140
2010,11,"Rathaus",3099
2009,11,"Rathaus",3110
2008,11,"Rathaus",3051
2007,11,"Rathaus",3079
2006,11,"Rathaus",3097
2005,11,"Rathaus",3081
2004,11,"Rathaus",3115
2003,11,"Rathaus",3149
2002,11,"Rathaus",3128
2001,11,"Rathaus",3103
2000,11,"Rathaus",3109
1999,11,"Rathaus",3104
1998,11,"Rathaus",3050
1997,11,"Rathaus",3083
1996,11,"Rathaus",3078
1995,11,"Rathaus",3049
1994,11,"Rathaus",3089
1993,11,"Rathaus",3133
1992,11,"Rathaus",3186
1991,11,"Rathaus",3173
1990,11,"Rathaus",3145
1989,11,"Rathaus",3161
1988,11,"Rathaus",3187
1987,11,"Rathaus",3218
1986,11,"Rathaus",3177
1985,11,"Rathaus",3181
1984,11,"Rathaus",3277
1983,11,"Rathaus",3304
1982,11,"Rathaus",3356
1981,11,"Rathaus",3501
1980,11,"Rathaus",3539
1979,11,"Rathaus",3551
1978,11,"Rathaus",3710
1977,11,"Rathaus",3802
1976,11,"Rathaus",3836
1975,11,"Rathaus",3980
1974,11,"Rathaus",4054
1973,11,"Rathaus",4297
1972,11,"Rathaus",4457
1971,11,"Rathaus",4572
1970,11,"Rathaus",4916
1969,11,"Rathaus",5305
1968,11,"Rathaus",5484
1967,11,"Rathaus",5720
1966,11,"Rathaus",5933
1965,11,"Rathaus",6104
1964,11,"Rathaus",6397
1963,11,"Rathaus",6555
1962,11,"Rathaus",6588
1961,11,"Rathaus",6684
1960,11,"Rathaus",6681
1959,11,"Rathaus",6771
1958,11,"Rathaus",6893
1957,11,"Rathaus",6970
1956,11,"Rathaus",6878
1955,11,"Rathaus",6942
1954,11,"Rathaus",7115
1953,11,"Rathaus",7394
1952,11,"Rathaus",7792
1951,11,"Rathaus",7934
1950,11,"Rathaus",8096
1949,11,"Rathaus",8421
1948,11,"Rathaus",8632
1947,11,"Rathaus",8788
1946,11,"Rathaus",8817
1945,11,"Rathaus",8734
1944,11,"Rathaus",8779
1943,11,"Rathaus",8886
1942,11,"Rathaus",8986
1941,11,"Rathaus",9018
2021,12,"Hochschulen",701
2020,12,"Hochschulen",675
2019,12,"Hochschulen",678
2018,12,"Hochschulen",664
2017,12,"Hochschulen",677
2016,12,"Hochschulen",640
2015,12,"Hochschulen",641
2014,12,"Hochschulen",634
2013,12,"Hochschulen",665
2012,12,"Hochschulen",673
2011,12,"Hochschulen",681
2010,12,"Hochschulen",678
2009,12,"Hochschulen",673
2008,12,"Hochschulen",702
2007,12,"Hochschulen",698
2006,12,"Hochschulen",711
2005,12,"Hochschulen",695
2004,12,"Hochschulen",725
2003,12,"Hochschulen",723
2002,12,"Hochschulen",727
2001,12,"Hochschulen",738
2000,12,"Hochschulen",759
1999,12,"Hochschulen",769
1998,12,"Hochschulen",792
1997,12,"Hochschulen",762
1996,12,"Hochschulen",753
1995,12,"Hochschulen",782
1994,12,"Hochschulen",806
1993,12,"Hochschulen",808
1992,12,"Hochschulen",838
1991,12,"Hochschulen",791
1990,12,"Hochschulen",789
1989,12,"Hochschulen",756
1988,12,"Hochschulen",811
1987,12,"Hochschulen",838
1986,12,"Hochschulen",898
1985,12,"Hochschulen",952
1984,12,"Hochschulen",943
1983,12,"Hochschulen",975
1982,12,"Hochschulen",1020
1981,12,"Hochschulen",1003
1980,12,"Hochschulen",1034
1979,12,"Hochschulen",1035
1978,12,"Hochschulen",1084
1977,12,"Hochschulen",1084
1976,12,"Hochschulen",1113
1975,12,"Hochschulen",1184
1974,12,"Hochschulen",1211
1973,12,"Hochschulen",1277
1972,12,"Hochschulen",1319
1971,12,"Hochschulen",1349
1970,12,"Hochschulen",1459
1969,12,"Hochschulen",1571
1968,12,"Hochschulen",1615
1967,12,"Hochschulen",1617
1966,12,"Hochschulen",1758
1965,12,"Hochschulen",1813
1964,12,"Hochschulen",1845
1963,12,"Hochschulen",1889
1962,12,"Hochschulen",1915
1961,12,"Hochschulen",1970
1960,12,"Hochschulen",1986
1959,12,"Hochschulen",2058
1958,12,"Hochschulen",2082
1957,12,"Hochschulen",2169
1956,12,"Hochschulen",2182
1955,12,"Hochschulen",2206
1954,12,"Hochschulen",2323
1953,12,"Hochschulen",2422
1952,12,"Hochschulen",2483
1951,12,"Hochschulen",2581
1950,12,"Hochschulen",2590
1949,12,"Hochschulen",2632
1948,12,"Hochschulen",2699
1947,12,"Hochschulen",2652
1946,12,"Hochschulen",2670
1945,12,"Hochschulen",2742
1944,12,"Hochschulen",2864
1943,12,"Hochschulen",2875
1942,12,"Hochschulen",2893
1941,12,"Hochschulen",2866
2021,13,"Lindenhof",1024
2020,13,"Lindenhof",1010
2019,13,"Lindenhof",1009
2018,13,"Lindenhof",990
2017,13,"Lindenhof",955
2016,13,"Lindenhof",972
2015,13,"Lindenhof",974
2014,13,"Lindenhof",955
2013,13,"Lindenhof",923
2012,13,"Lindenhof",935
2011,13,"Lindenhof",950
2010,13,"Lindenhof",951
2009,13,"Lindenhof",940
2008,13,"Lindenhof",940
2007,13,"Lindenhof",954
2006,13,"Lindenhof",955
2005,13,"Lindenhof",950
2004,13,"Lindenhof",947
2003,13,"Lindenhof",942
2002,13,"Lindenhof",950
2001,13,"Lindenhof",948
2000,13,"Lindenhof",989
1999,13,"Lindenhof",1032
1998,13,"Lindenhof",995
1997,13,"Lindenhof",1025
1996,13,"Lindenhof",1044
1995,13,"Lindenhof",1096
1994,13,"Lindenhof",1087
1993,13,"Lindenhof",1136
1992,13,"Lindenhof",1112
1991,13,"Lindenhof",933
1990,13,"Lindenhof",930
1989,13,"Lindenhof",937
1988,13,"Lindenhof",1011
1987,13,"Lindenhof",1013
1986,13,"Lindenhof",1005
1985,13,"Lindenhof",1084
1984,13,"Lindenhof",1114
1983,13,"Lindenhof",1178
1982,13,"Lindenhof",1259
1981,13,"Lindenhof",1304
1980,13,"Lindenhof",1331
1979,13,"Lindenhof",1404
1978,13,"Lindenhof",1490
1977,13,"Lindenhof",1451
1976,13,"Lindenhof",1463
1975,13,"Lindenhof",1541
1974,13,"Lindenhof",1679
1973,13,"Lindenhof",1738
1972,13,"Lindenhof",1847
1971,13,"Lindenhof",1956
1970,13,"Lindenhof",2075
1969,13,"Lindenhof",2122
1968,13,"Lindenhof",2221
1967,13,"Lindenhof",2349
1966,13,"Lindenhof",2376
1965,13,"Lindenhof",2432
1964,13,"Lindenhof",2599
1963,13,"Lindenhof",2726
1962,13,"Lindenhof",2780
1961,13,"Lindenhof",2751
1960,13,"Lindenhof",2785
1959,13,"Lindenhof",2835
1958,13,"Lindenhof",2878
1957,13,"Lindenhof",2887
1956,13,"Lindenhof",2901
